Order	Port	Parameter Assignment	Word	SubF	Supf	MSB	LSB
73	A 8	ELEV POS-R	266	0	0	12	1
123	A16	CONTROL COL POSN - F/O	268	0	0	12	2
101	A13	LONGITUDINAL ACCELERATION	269	0	0	12	3
190	B 5	VHF CENTER KEYING	272	0	0	1	1
81	A10	AIL POS-L	273	0	0	12	1
176	B 3	VHF LT KEYING	274	0	0	1	1
184	B 4	VHF RT KEYING	274	0	0	2	2
49	A 5	CONTROL WHEEL POSN - CAPT	275	0	0	12	3
198	B 7	HF-LT KEYING	275	0	0	1	1
206	B 8	HF-RT KEYING	275	0	0	2	2
329	B101	SAT COMM #1 KEYING	276	0	0	1	1
337	B102	SAT COMM #2 KEYING	276	0	0	2	2
29	A 3	LATERAL ACCELERATION	277	0	0	12	3
294	B 71	ROLL TRIM CMD R WING DOWN	278	0	0	1	1
296	B 72	ROLL TRIM CMD L WING DOWN	278	0	0	2	2
89	A11	AIL POS-R	279	0	0	12	1
113	A14	CONTROL WHEEL POSN - F/O	281	0	0	12	3
226	B 14	GROUND SPOILER/SPD BRK	281	0	0	1	1
361	B112	GEAR LEVER DOWN	281	0	0	2	2
248	B 31	MAIN DECK CARGO SMOKE	282	0	0	1	1
291	B 68	SPARE SERIES DISCRETE #B68	286	0	0	1	1
10	A 1	VERTICAL ACCELERATION	290	0	0	12	1
147	A20	RUD POS	293	0	0	12	1
57	A 6	RUD PEDAL POS	295	0	0	12	2
244	B 28	TRIM DOWN - A/P	295	0	0	1	1
164	A35	RUD PEDAL FORCE	296	0	0	12	1
102	A13	LONGITUDINAL ACCELERATION	301	0	0	12	3
355	B109	CABIN ALTITUDE > 10kft	304	0	0	1	1
30	A 3	LATERAL ACCELERATION	309	0	0	12	3
277	B 57	SPARE SERIES DISCRETE #B57	313	1	0	2	2
284	B 63	SPARE SERIES DISCRETE #B63	313	2	0	2	2
285	B 63	SPARE SERIES DISCRETE #B63	313	4	0	2	2
156	A25	BRAKE PRESS MAIN-LT	314	0	0	12	3
